Document Type,Document Link,Description,Date
144,https://www.sec.gov/Archives/edgar/data/21344/000195004724005791/0001950047-24-005791-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-24-005791 (33 Act)  Size: 7 KB",8/2/2024
144,https://www.sec.gov/Archives/edgar/data/21344/000195004724005790/0001950047-24-005790-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-24-005790 (33 Act)  Size: 4 KB",8/2/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224021150/0001127602-24-021150-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-021150 Size: 17 KB",7/30/2024
144,https://www.sec.gov/Archives/edgar/data/21344/000195004724005616/0001950047-24-005616-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-24-005616 (33 Act)  Size: 6 KB",7/26/2024
11-K/A,https://www.sec.gov/Archives/edgar/data/21344/000002134424000033/0000021344-24-000033-index.htm,"[Amend] Annual report of employee stock purchase, savings and similar plans
Acc-no: 0000021344-24-000033 (34 Act)  Size: 458 KB",7/22/2024
11-K/A,https://www.sec.gov/Archives/edgar/data/21344/000002134424000031/0000021344-24-000031-index.htm,"[Amend] Annual report of employee stock purchase, savings and similar plans
Acc-no: 0000021344-24-000031 (34 Act)  Size: 459 KB",7/22/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224020707/0001127602-24-020707-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-020707 Size: 11 KB",7/19/2024
144,https://www.sec.gov/Archives/edgar/data/21344/000195004724005494/0001950047-24-005494-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-24-005494 (33 Act)  Size: 6 KB",7/17/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000155278124000392/0001552781-24-000392-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001552781-24-000392 (34 Act)  Size: 5 KB",7/5/2024
SC 13D/A,https://www.sec.gov/Archives/edgar/data/21344/000155278124000391/0001552781-24-000391-index.htm,"[Amend] General Statement of Acquisition of Beneficial Ownership
Acc-no: 0001552781-24-000391 Size: 76 KB",7/5/2024
